,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
88,-1635172546.9385958,-951284259.9095,-660709853.2367972,-1991558072.5003283,-55045927.96508968,-218730263.8863254,-279585041.07460344,-1383257899.890137,-30119250.33518304
89,2519566434.1569915,-1371600952.2170842,-1323964230.8866134,-1554913434.4522886,1356963921.1022303,-90187182.80611607,-3419413.054306817,-1214353087.6501637,-219870412.6095935
90,-1574854021.607936,-548629755.3175753,-1845151976.475837,-914031941.5681446,-1474598047.5342042,-191739929.6049032,-344179559.90023607,-210459508.47825292,-629528030.1818922
91,-557251961.3157965,-38441874.20891816,-1240070791.652226,-1157860435.1761737,-3972686404.305003,-792014587.9158033,-362248279.2744709,-497129.0639480501,-220832507.39924145
92,-1992273120.1264927,-914500358.904802,-1654284341.16226,-729754406.2905233,-300353772.8236602,211287753.2449066,-1548898535.330858,-183235185.5471728,313490477.84663373
93,-605218524.0634805,-172773376.28868887,-2251724226.553827,-1223365779.429345,-805489.4738680632,547717412.6900572,-2125073389.064352,-9036330.45772896,-3661908795.457227
94,-658346026.2419043,1231489.4865600378,-623551055.4217379,-1587522013.1544168,-16972954666.615084,-207832605.5920765,-560739723.0837529,-143242259.09124604,-14739002.6190258
95,5404331.813732165,-265321694.2466546,-5827267398.422327,-1391382887.259758,-842735925.087973,-1131162456.182792,-321647086.68915206,-2721609198.4164195,-108218669.30821548
96,-730935114.6963235,-135338615.34801286,-1086522586.875756,-4022569913.764666,-15719003.69253556,-458982778.2217362,-44220129.657379285,-524859534.6755556,41224127.03846485
97,-1081095834.104345,49999027.63570743,-3390031725.916562,-2657387904.835793,51970233.5494918,-6316115935.927068,-116404403.42172836,-594874560.4891888,35925298.093041226
98,-25000328.665744413,-232374400.79276812,-4702640829.518529,-989208576.6497962,-298493519.69888616,-1114156766.978274,-98281277.81629483,-1004148527.4063252,-1218624831.6043036
99,-690471523.6931275,-376347806.8287236,-1162011821.303647,-484757305.5349016,2497418238.927409,-3559826761.057032,-53767066.62677646,-468765316.3671216,236025480.8159462
100,-126017049.99742237,-150765159.99052164,-1919481558.4031887,-2044819455.475387,-766598419.0193205,-3583067142.6887226,-2850302761.528636,-92290727.78831208,-340097943.6624862
101,1162752.3759163748,-197219499.47943088,-733841953.4322104,-445516565.2675165,-639409310.4344652,-629686965.5632503,-105787176.4211428,-57952295.298003845,-2474002236.837286
102,-761044132.5605773,-124802709.61870857,-38242752119.355385,-3109453777.073441,-602179488.8133965,8995735.25348177,-1907389686.5084465,-16154709.170877364,69845410.8134688
103,394847.8887644681,-1080056610.3562992,-6255863040.551916,-2789445903.839108,-1385824905.8477025,190778001.57583305,-44115941.55672408,-184051469.7505552,-581002663.6354061
