,10. 10мВт.csv,11. 25мВт.csv,12. 50мВт.csv,17. контроль АЛА+.csv,19. контроль АЛА -.csv,1_1 А контроль АЛА 75мВт.csv,3_1 В 3мВт.csv,3_2 В 5мВт.csv,9. 15мВт.csv
160,3555058279.919686,45795093766.24117,38525158951.73666,434368902817.47473,2501262087302.1377,588142740449.9514,1483699674.910311,125312052766.42024,107700942870.435
161,20262863445.981705,44828501327.5184,1286167231278.5068,25912710271.56608,231258713500.9297,86299750446.96503,90013024270.092,38641460333.25465,3200590214920.85
162,7929750285.518917,120696381613.13216,16766108066.889658,74948947694.9729,71233541323.68828,41259541220.58556,1618262618.3436491,21780185879.65283,102889223713.70338
163,32557050393.604828,6351247761.161428,387149350953.0981,422333405053.992,97891810771.88802,337662881383.2044,90499024195.0344,183939208186.08047,28153626348.573124
164,1146717304367.536,9522800048.340134,876332113752.1355,652011446040.4276,201199355960.6616,161068053433.66077,46411176411.83293,13899104460.292942,447431262138.4913
165,368164577233.37103,59956832721.76995,214190844466.6802,562240356895.6667,148321555876.79367,525175656674.0084,229748150022.03635,1057524374041.1744,165070605703.60736
166,51030831484.08486,23136862511.23848,615726450755.6924,524366895851.6431,625454518820.3123,349092666350.76105,70506895592.00797,222499081326.3891,93493752391.72108
167,10703119310.834389,85770197251.77432,73196340240.24396,685506248452.4087,4142252059652.235,203026756168.0256,1930504418.133456,46952068194.79057,107112586630.77773
168,4504081375.192157,9678886030.776802,207919550551.9564,189446533860.6568,5081275840684.107,685704878018.4519,129167949399.16434,514995348050.99695,44972532703.866974
169,11178980469.612226,32001574666.008694,30449602326.104942,285468134545.2924,113421280617.39502,504332696363.664,539899263912.9232,866869509574.8191,38616818139.40511
170,11781250363.959846,840733024088.2396,60153319604.68932,457132340999.0856,507960276295.97015,74939434722.62895,196110024847.4972,129301250473.48685,84430584910.19424
171,160979538698.11484,9471504907.930758,153834801401.7704,2011167442521.9973,289569401257.8783,332551867003.7163,183141919111.2705,1568907037047.8032,280915499478.3908
172,155616090046.06314,487256713389.5973,193389815916.7368,175500907985.4445,612404056571.9684,223657539988.4037,86329397823.34352,307873410371.5732,143871670745.21332
173,739414301.152166,71387676079.69394,19992998719.9066,774128919584.1772,954681858311.924,197580282289.6316,107144529795.5404,784835550420.1204,46033038035.74581
174,7758563080.149912,112313540999.69952,22503803897381.617,420431533578.965,69546869566.63478,116713025898.72292,258963511243.15265,525912646463.0005,265521105584.2736
175,950060522367.0034,96784173969.3096,201193355984.52817,441580297728.3031,83650210360.84947,226039594719.404,25820958041.9293,15667477126.10227,883155617867.4978
